action,sample_id,input_path,split,handedness
ok,IMG_6289,./test/droh_real2d_wristnorm/ok/IMG_6289.npy,test,Left
ok,IMG_6290,./test/droh_real2d_wristnorm/ok/IMG_6290.npy,test,Left
ok,IMG_6292,./test/droh_real2d_wristnorm/ok/IMG_6292.npy,test,Left
ok,IMG_6327,./test/droh_real2d_wristnorm/ok/IMG_6327.npy,test,Left
ok,IMG_6329,./test/droh_real2d_wristnorm/ok/IMG_6329.npy,test,Left
ok,IMG_6362,./test/droh_real2d_wristnorm/ok/IMG_6362.npy,test,Left
ok,IMG_6363,./test/droh_real2d_wristnorm/ok/IMG_6363.npy,test,Left
ok,IMG_6396,./test/droh_real2d_wristnorm/ok/IMG_6396.npy,test,Left
ok,IMG_6434,./test/droh_real2d_wristnorm/ok/IMG_6434.npy,test,Left
ok,IMG_6437,./test/droh_real2d_wristnorm/ok/IMG_6437.npy,test,Left
ok,IMG_6472,./test/droh_real2d_wristnorm/ok/IMG_6472.npy,test,Right
ok,IMG_6474,./test/droh_real2d_wristnorm/ok/IMG_6474.npy,test,Right
ok,IMG_6512,./test/droh_real2d_wristnorm/ok/IMG_6512.npy,test,Left
ok,IMG_6554,./test/droh_real2d_wristnorm/ok/IMG_6554.npy,test,Right
ok,IMG_6555,./test/droh_real2d_wristnorm/ok/IMG_6555.npy,test,Left
ok,IMG_6591,./test/droh_real2d_wristnorm/ok/IMG_6591.npy,test,Left
ok,IMG_6623,./test/droh_real2d_wristnorm/ok/IMG_6623.npy,test,Left
ok,IMG_6624,./test/droh_real2d_wristnorm/ok/IMG_6624.npy,test,Left
ok,IMG_6712,./test/droh_real2d_wristnorm/ok/IMG_6712.npy,test,Left
ok,IMG_6714,./test/droh_real2d_wristnorm/ok/IMG_6714.npy,test,Left
ok,IMG_6738,./test/droh_real2d_wristnorm/ok/IMG_6738.npy,test,Right
ok,IMG_6803,./test/droh_real2d_wristnorm/ok/IMG_6803.npy,test,Left
ok,IMG_6805,./test/droh_real2d_wristnorm/ok/IMG_6805.npy,test,Left
ok,IMG_6834,./test/droh_real2d_wristnorm/ok/IMG_6834.npy,test,Right
