action,sample_id,view,path,shape_ok,has_nan,has_inf,wrist_norm,mid_scale,global_min,global_max,mean,std,wrist_ok,mid_scale_ok
ok,ok (100),Cam_0,./dataset/multiview_blender/ok/ok (100)/Cam_0.npy,1,0,0,0.0,0.9999962449073792,-0.062306586652994156,2.0391957759857178,0.584252655506134,0.6337930560112,1,1
ok,ok (100),Cam_2,./dataset/multiview_blender/ok/ok (100)/Cam_2.npy,1,0,0,0.0,0.9999958872795105,-0.7433465719223022,2.8847360610961914,0.500572919845581,0.8800750970840454,1,1
ok,ok (100),Cam_4,./dataset/multiview_blender/ok/ok (100)/Cam_4.npy,1,0,0,0.0,0.9999900460243225,-4.1492791175842285,3.6840360164642334,-0.40079712867736816,1.7191892862319946,1,1
ok,ok (100),Cam_5,./dataset/multiview_blender/ok/ok (100)/Cam_5.npy,1,0,0,0.0,0.9999958872795105,-2.862159490585327,0.200362429022789,-0.6945288777351379,0.7139984965324402,1,1
ok,ok (101),Cam_0,./dataset/multiview_blender/ok/ok (101)/Cam_0.npy,1,0,0,0.0,0.9999962449073792,-0.07357455790042877,1.9761037826538086,0.5736804008483887,0.6185427904129028,1,1
ok,ok (101),Cam_2,./dataset/multiview_blender/ok/ok (101)/Cam_2.npy,1,0,0,0.0,0.9999960064888,-0.6197603344917297,2.8974502086639404,0.5211971402168274,0.8734936118125916,1,1
ok,ok (101),Cam_4,./dataset/multiview_blender/ok/ok (101)/Cam_4.npy,1,0,0,0.0,0.9999900460243225,-3.8866262435913086,3.7567379474639893,-0.2962029278278351,1.7441354990005493,1,1
ok,ok (101),Cam_5,./dataset/multiview_blender/ok/ok (101)/Cam_5.npy,1,0,0,0.0,0.9999960064888,-2.8290743827819824,0.3482103943824768,-0.6852692365646362,0.7335169315338135,1,1
ok,ok (102),Cam_0,./dataset/multiview_blender/ok/ok (102)/Cam_0.npy,1,0,0,0.0,0.9999962449073792,-0.04833252727985382,1.9963189363479614,0.6000944972038269,0.6046768426895142,1,1
ok,ok (102),Cam_2,./dataset/multiview_blender/ok/ok (102)/Cam_2.npy,1,0,0,0.0,0.9999960064888,-0.4825105369091034,2.8950583934783936,0.5490964651107788,0.851311981678009,1,1
ok,ok (102),Cam_4,./dataset/multiview_blender/ok/ok (102)/Cam_4.npy,1,0,0,0.0,0.9999900460243225,-3.2682695388793945,4.127994537353516,-0.1940692514181137,1.7217544317245483,1,1
ok,ok (102),Cam_5,./dataset/multiview_blender/ok/ok (102)/Cam_5.npy,1,0,0,0.0,0.9999960064888,-2.841531276702881,0.2821430265903473,-0.6423781514167786,0.7247673869132996,1,1
ok,ok (103),Cam_0,./dataset/multiview_blender/ok/ok (103)/Cam_0.npy,1,0,0,0.0,0.9999962449073792,-0.08182153850793839,1.9014946222305298,0.5435309410095215,0.6065450310707092,1,1
