action,path,shape_ok,has_nan,has_inf,wrist_norm,mid_scale,global_min,global_max,mean,std,wrist_ok,mid_scale_ok
ok,./test/droh_real2d_wristnorm/ok/IMG_6289.npy,1,0,0,0.0,0.999997079372406,-0.4543204605579376,2.1103787422180176,0.6692015528678894,0.6177282929420471,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6290.npy,1,0,0,0.0,0.999995231628418,-2.0389442443847656,0.8308722376823425,-0.6627122759819031,0.7117599844932556,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6292.npy,1,0,0,0.0,0.9999958872795105,-2.181497097015381,1.0638399124145508,-0.24306882917881012,0.9369268417358398,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6327.npy,1,0,0,0.0,0.9999953508377075,-1.9936681985855103,1.5234869718551636,-0.33820873498916626,0.8762819766998291,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6329.npy,1,0,0,0.0,0.9999956488609314,-0.5930436849594116,1.905105710029602,0.6957307457923889,0.6204482913017273,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6362.npy,1,0,0,0.0,0.9999953508377075,-0.06204865127801895,1.8794413805007935,0.7076049447059631,0.5287208557128906,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6363.npy,1,0,0,0.0,0.9999956488609314,-1.7978317737579346,0.6351257562637329,-0.45703747868537903,0.7546296715736389,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6396.npy,1,0,0,0.0,0.9999953508377075,-1.188933253288269,2.1558732986450195,0.14673854410648346,0.9512630105018616,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6434.npy,1,0,0,0.0,0.9999946355819702,-1.7557998895645142,2.548072338104248,0.24025027453899384,1.1836247444152832,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6437.npy,1,0,0,0.0,0.9999964237213135,-1.59511137008667,1.6305254697799683,-0.1187448725104332,0.8779011964797974,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6472.npy,1,0,0,0.0,0.9999959468841553,-1.0982046127319336,2.0491862297058105,0.1533873826265335,0.9136137366294861,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6474.npy,1,0,0,0.0,0.9999963641166687,-0.18224425613880157,2.227288007736206,0.6323176026344299,0.5431210994720459,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6512.npy,1,0,0,0.0,0.999994695186615,-3.0477635860443115,0.7970949411392212,-0.8557456135749817,0.9395762085914612,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6554.npy,1,0,0,0.0,0.9999940991401672,-2.2476255893707275,1.2275009155273438,-0.220432311296463,0.8864108920097351,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6555.npy,1,0,0,0.0,0.9999966621398926,-0.06777437031269073,2.163614511489868,0.9070544242858887,0.5658750534057617,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6591.npy,1,0,0,0.0,0.9999969005584717,-1.5644062757492065,1.1663480997085571,-0.39716997742652893,0.7788923382759094,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6623.npy,1,0,0,0.0,0.9999942183494568,-2.441565990447998,2.190692186355591,-0.32434773445129395,1.0759499073028564,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6624.npy,1,0,0,0.0,0.9999958276748657,-0.8869858384132385,1.829195499420166,0.7740084528923035,0.6960402727127075,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6712.npy,1,0,0,0.0,0.9999955296516418,-2.4118027687072754,0.7707563042640686,-0.9131064414978027,0.8193618655204773,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6714.npy,1,0,0,0.0,0.999995768070221,-2.4227874279022217,0.8454527854919434,-0.9298012852668762,0.8501132726669312,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6738.npy,1,0,0,0.0,0.9999957084655762,-1.7676515579223633,0.08456654846668243,-0.7034934163093567,0.5048312544822693,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6803.npy,1,0,0,0.0,0.9999940395355225,-2.437939167022705,0.23395083844661713,-0.836409866809845,0.7770828008651733,1,1
ok,./test/droh_real2d_wristnorm/ok/IMG_6805.npy,1,0,0,0.0,0.999995768070221,-2.0346877574920654,0.0,-0.8254916071891785,0.5229036808013916,1,1
