dataset,action,path,shape_ok,has_nan,has_inf,wrist_norm,mid_scale,global_min,global_max,mean,std,palm_sign_z,wrist_ok,mid_scale_ok
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6289.npy,1,0,0,0.0,0.9999961853027344,-0.6628121733665466,2.219374895095825,0.3567657768726349,0.6940540075302124,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6290.npy,1,0,0,0.0,0.9999949336051941,-1.0183343887329102,2.1805312633514404,0.3483907878398895,0.759188175201416,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6292.npy,1,0,0,0.0,0.9999954700469971,-1.0966904163360596,2.2400569915771484,0.3673267364501953,0.7241457104682922,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6327.npy,1,0,0,0.0,0.9999946355819702,-0.9101018309593201,2.0942845344543457,0.31742754578590393,0.7459818720817566,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6329.npy,1,0,0,0.0,0.9999948143959045,-1.1749613285064697,2.035562038421631,0.2266286015510559,0.7517940402030945,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6362.npy,1,0,0,0.0,0.9999943375587463,-0.7522596716880798,2.0058107376098633,0.30788642168045044,0.6530438661575317,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6363.npy,1,0,0,0.0,0.9999947547912598,-0.885989248752594,1.8679008483886719,0.2802645266056061,0.6897523999214172,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6396.npy,1,0,0,0.0,0.9999954700469971,-0.8225173354148865,2.180915355682373,0.3264399766921997,0.7346373796463013,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6434.npy,1,0,0,0.0,0.9999944567680359,-0.6649267673492432,2.5791733264923096,0.4063532054424286,0.8304601311683655,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6437.npy,1,0,0,0.0,0.9999955892562866,-0.7193531394004822,1.9809679985046387,0.3012945055961609,0.6919041872024536,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6472.npy,1,0,0,0.0,0.9999954104423523,-0.555953323841095,2.195139169692993,0.45770564675331116,0.648262619972229,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6474.npy,1,0,0,0.0,0.9999956488609314,-0.4679304361343384,2.19606876373291,0.4746881425380707,0.552020251750946,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6512.npy,1,0,0,0.0,0.9999957084655762,-1.0183018445968628,2.247941493988037,0.32751110196113586,0.8411670327186584,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6554.npy,1,0,0,0.0,0.999994158744812,-0.8270272612571716,2.297093391418457,0.3782554566860199,0.6760406494140625,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6555.npy,1,0,0,0.0,0.9999961853027344,-0.8070412278175354,2.2491276264190674,0.32334214448928833,0.7697409391403198,1.0,1,1
droh_3d,ok,./test/skeleton_final_v2/ok/IMG_6591.npy,1,0,0,0.0,0.9999963045120239,-0.8605132102966309,1.6508560180664062,0.2758212387561798,0.7195778489112854,1.0,1,1
