action,source_action,sample_id,split,raw_path,refined_path
ok,ok,IMG_6289,test,./test/skeleton_final_v2/ok/IMG_6289.npy,./data/droh_refined/ok/fitted/IMG_6289.npy
ok,ok,IMG_6290,test,./test/skeleton_final_v2/ok/IMG_6290.npy,./data/droh_refined/ok/fitted/IMG_6290.npy
ok,ok,IMG_6292,test,./test/skeleton_final_v2/ok/IMG_6292.npy,./data/droh_refined/ok/fitted/IMG_6292.npy
ok,ok,IMG_6327,test,./test/skeleton_final_v2/ok/IMG_6327.npy,./data/droh_refined/ok/fitted/IMG_6327.npy
ok,ok,IMG_6329,test,./test/skeleton_final_v2/ok/IMG_6329.npy,./data/droh_refined/ok/fitted/IMG_6329.npy
ok,ok,IMG_6362,test,./test/skeleton_final_v2/ok/IMG_6362.npy,./data/droh_refined/ok/fitted/IMG_6362.npy
ok,ok,IMG_6363,test,./test/skeleton_final_v2/ok/IMG_6363.npy,./data/droh_refined/ok/fitted/IMG_6363.npy
ok,ok,IMG_6396,test,./test/skeleton_final_v2/ok/IMG_6396.npy,./data/droh_refined/ok/fitted/IMG_6396.npy
ok,ok,IMG_6434,test,./test/skeleton_final_v2/ok/IMG_6434.npy,./data/droh_refined/ok/fitted/IMG_6434.npy
ok,ok,IMG_6437,test,./test/skeleton_final_v2/ok/IMG_6437.npy,./data/droh_refined/ok/fitted/IMG_6437.npy
ok,ok,IMG_6472,test,./test/skeleton_final_v2/ok/IMG_6472.npy,./data/droh_refined/ok/fitted/IMG_6472.npy
ok,ok,IMG_6474,test,./test/skeleton_final_v2/ok/IMG_6474.npy,./data/droh_refined/ok/fitted/IMG_6474.npy
ok,ok,IMG_6512,test,./test/skeleton_final_v2/ok/IMG_6512.npy,./data/droh_refined/ok/fitted/IMG_6512.npy
ok,ok,IMG_6554,test,./test/skeleton_final_v2/ok/IMG_6554.npy,./data/droh_refined/ok/fitted/IMG_6554.npy
ok,ok,IMG_6555,test,./test/skeleton_final_v2/ok/IMG_6555.npy,./data/droh_refined/ok/fitted/IMG_6555.npy
ok,ok,IMG_6591,test,./test/skeleton_final_v2/ok/IMG_6591.npy,./data/droh_refined/ok/fitted/IMG_6591.npy
ok,ok,IMG_6623,test,./test/skeleton_final_v2/ok/IMG_6623.npy,./data/droh_refined/ok/fitted/IMG_6623.npy
ok,ok,IMG_6624,test,./test/skeleton_final_v2/ok/IMG_6624.npy,./data/droh_refined/ok/fitted/IMG_6624.npy
ok,ok,IMG_6712,test,./test/skeleton_final_v2/ok/IMG_6712.npy,./data/droh_refined/ok/fitted/IMG_6712.npy
ok,ok,IMG_6714,test,./test/skeleton_final_v2/ok/IMG_6714.npy,./data/droh_refined/ok/fitted/IMG_6714.npy
ok,ok,IMG_6738,test,./test/skeleton_final_v2/ok/IMG_6738.npy,./data/droh_refined/ok/fitted/IMG_6738.npy
ok,ok,IMG_6803,test,./test/skeleton_final_v2/ok/IMG_6803.npy,./data/droh_refined/ok/fitted/IMG_6803.npy
ok,ok,IMG_6805,test,./test/skeleton_final_v2/ok/IMG_6805.npy,./data/droh_refined/ok/fitted/IMG_6805.npy
ok,ok,IMG_6834,test,./test/skeleton_final_v2/ok/IMG_6834.npy,./data/droh_refined/ok/fitted/IMG_6834.npy
ok,ok,IMG_6835,test,./test/skeleton_final_v2/ok/IMG_6835.npy,./data/droh_refined/ok/fitted/IMG_6835.npy
ok,ok,IMG_6937,test,./test/skeleton_final_v2/ok/IMG_6937.npy,./data/droh_refined/ok/fitted/IMG_6937.npy
ok,ok,IMG_6938,test,./test/skeleton_final_v2/ok/IMG_6938.npy,./data/droh_refined/ok/fitted/IMG_6938.npy
ok,ok,IMG_6967,test,./test/skeleton_final_v2/ok/IMG_6967.npy,./data/droh_refined/ok/fitted/IMG_6967.npy
ok,ok,IMG_6968,test,./test/skeleton_final_v2/ok/IMG_6968.npy,./data/droh_refined/ok/fitted/IMG_6968.npy
ok,ok,IMG_6969,test,./test/skeleton_final_v2/ok/IMG_6969.npy,./data/droh_refined/ok/fitted/IMG_6969.npy
ok,ok,IMG_6970,test,./test/skeleton_final_v2/ok/IMG_6970.npy,./data/droh_refined/ok/fitted/IMG_6970.npy
ok,ok,IMG_7001,test,./test/skeleton_final_v2/ok/IMG_7001.npy,./data/droh_refined/ok/fitted/IMG_7001.npy
ok,ok,IMG_7036,test,./test/skeleton_final_v2/ok/IMG_7036.npy,./data/droh_refined/ok/fitted/IMG_7036.npy
ok,ok,IMG_7037,test,./test/skeleton_final_v2/ok/IMG_7037.npy,./data/droh_refined/ok/fitted/IMG_7037.npy
ok,ok,IMG_7038,test,./test/skeleton_final_v2/ok/IMG_7038.npy,./data/droh_refined/ok/fitted/IMG_7038.npy
ok,ok,IMG_7070,test,./test/skeleton_final_v2/ok/IMG_7070.npy,./data/droh_refined/ok/fitted/IMG_7070.npy
ok,ok,IMG_7072,test,./test/skeleton_final_v2/ok/IMG_7072.npy,./data/droh_refined/ok/fitted/IMG_7072.npy
ok,ok,IMG_7073,test,./test/skeleton_final_v2/ok/IMG_7073.npy,./data/droh_refined/ok/fitted/IMG_7073.npy
ok,ok,IMG_7227,test,./test/skeleton_final_v2/ok/IMG_7227.npy,./data/droh_refined/ok/fitted/IMG_7227.npy
ok,ok,IMG_7228,test,./test/skeleton_final_v2/ok/IMG_7228.npy,./data/droh_refined/ok/fitted/IMG_7228.npy
ok,ok,IMG_7258,test,./test/skeleton_final_v2/ok/IMG_7258.npy,./data/droh_refined/ok/fitted/IMG_7258.npy
ok,ok,IMG_7259,test,./test/skeleton_final_v2/ok/IMG_7259.npy,./data/droh_refined/ok/fitted/IMG_7259.npy
