action,sample_id,split,image_path,skeleton_path,handedness,raw_path
ok,IMG_6289,test,./data/raw_droh/ok/IMG_6289.JPG,./test/skeleton_final_v2/ok/IMG_6289.npy,Left,./test/skeleton_raw/ok/IMG_6289.npy
ok,IMG_6290,test,./data/raw_droh/ok/IMG_6290.JPG,./test/skeleton_final_v2/ok/IMG_6290.npy,Left,./test/skeleton_raw/ok/IMG_6290.npy
ok,IMG_6292,test,./data/raw_droh/ok/IMG_6292.JPG,./test/skeleton_final_v2/ok/IMG_6292.npy,Left,./test/skeleton_raw/ok/IMG_6292.npy
ok,IMG_6327,test,./data/raw_droh/ok/IMG_6327.JPG,./test/skeleton_final_v2/ok/IMG_6327.npy,Left,./test/skeleton_raw/ok/IMG_6327.npy
ok,IMG_6329,test,./data/raw_droh/ok/IMG_6329.JPG,./test/skeleton_final_v2/ok/IMG_6329.npy,Left,./test/skeleton_raw/ok/IMG_6329.npy
ok,IMG_6362,test,./data/raw_droh/ok/IMG_6362.JPG,./test/skeleton_final_v2/ok/IMG_6362.npy,Left,./test/skeleton_raw/ok/IMG_6362.npy
ok,IMG_6363,test,./data/raw_droh/ok/IMG_6363.JPG,./test/skeleton_final_v2/ok/IMG_6363.npy,Left,./test/skeleton_raw/ok/IMG_6363.npy
ok,IMG_6396,test,./data/raw_droh/ok/IMG_6396.JPG,./test/skeleton_final_v2/ok/IMG_6396.npy,Left,./test/skeleton_raw/ok/IMG_6396.npy
ok,IMG_6434,test,./data/raw_droh/ok/IMG_6434.JPG,./test/skeleton_final_v2/ok/IMG_6434.npy,Left,./test/skeleton_raw/ok/IMG_6434.npy
ok,IMG_6437,test,./data/raw_droh/ok/IMG_6437.JPG,./test/skeleton_final_v2/ok/IMG_6437.npy,Left,./test/skeleton_raw/ok/IMG_6437.npy
ok,IMG_6472,test,./data/raw_droh/ok/IMG_6472.JPG,./test/skeleton_final_v2/ok/IMG_6472.npy,Right,./test/skeleton_raw/ok/IMG_6472.npy
ok,IMG_6474,test,./data/raw_droh/ok/IMG_6474.JPG,./test/skeleton_final_v2/ok/IMG_6474.npy,Right,./test/skeleton_raw/ok/IMG_6474.npy
ok,IMG_6512,test,./data/raw_droh/ok/IMG_6512.JPG,./test/skeleton_final_v2/ok/IMG_6512.npy,Left,./test/skeleton_raw/ok/IMG_6512.npy
ok,IMG_6554,test,./data/raw_droh/ok/IMG_6554.JPG,./test/skeleton_final_v2/ok/IMG_6554.npy,Right,./test/skeleton_raw/ok/IMG_6554.npy
ok,IMG_6555,test,./data/raw_droh/ok/IMG_6555.JPG,./test/skeleton_final_v2/ok/IMG_6555.npy,Left,./test/skeleton_raw/ok/IMG_6555.npy
ok,IMG_6591,test,./data/raw_droh/ok/IMG_6591.JPG,./test/skeleton_final_v2/ok/IMG_6591.npy,Left,./test/skeleton_raw/ok/IMG_6591.npy
ok,IMG_6623,test,./data/raw_droh/ok/IMG_6623.JPG,./test/skeleton_final_v2/ok/IMG_6623.npy,Left,./test/skeleton_raw/ok/IMG_6623.npy
ok,IMG_6624,test,./data/raw_droh/ok/IMG_6624.JPG,./test/skeleton_final_v2/ok/IMG_6624.npy,Left,./test/skeleton_raw/ok/IMG_6624.npy
ok,IMG_6712,test,./data/raw_droh/ok/IMG_6712.JPG,./test/skeleton_final_v2/ok/IMG_6712.npy,Left,./test/skeleton_raw/ok/IMG_6712.npy
ok,IMG_6714,test,./data/raw_droh/ok/IMG_6714.JPG,./test/skeleton_final_v2/ok/IMG_6714.npy,Left,./test/skeleton_raw/ok/IMG_6714.npy
ok,IMG_6738,test,./data/raw_droh/ok/IMG_6738.JPG,./test/skeleton_final_v2/ok/IMG_6738.npy,Right,./test/skeleton_raw/ok/IMG_6738.npy
ok,IMG_6803,test,./data/raw_droh/ok/IMG_6803.JPG,./test/skeleton_final_v2/ok/IMG_6803.npy,Left,./test/skeleton_raw/ok/IMG_6803.npy
ok,IMG_6805,test,./data/raw_droh/ok/IMG_6805.JPG,./test/skeleton_final_v2/ok/IMG_6805.npy,Left,./test/skeleton_raw/ok/IMG_6805.npy
ok,IMG_6834,test,./data/raw_droh/ok/IMG_6834.JPG,./test/skeleton_final_v2/ok/IMG_6834.npy,Right,./test/skeleton_raw/ok/IMG_6834.npy
ok,IMG_6835,test,./data/raw_droh/ok/IMG_6835.JPG,./test/skeleton_final_v2/ok/IMG_6835.npy,Right,./test/skeleton_raw/ok/IMG_6835.npy
ok,IMG_6937,test,./data/raw_droh/ok/IMG_6937.JPG,./test/skeleton_final_v2/ok/IMG_6937.npy,Left,./test/skeleton_raw/ok/IMG_6937.npy
ok,IMG_6938,test,./data/raw_droh/ok/IMG_6938.JPG,./test/skeleton_final_v2/ok/IMG_6938.npy,Left,./test/skeleton_raw/ok/IMG_6938.npy
ok,IMG_6967,test,./data/raw_droh/ok/IMG_6967.JPG,./test/skeleton_final_v2/ok/IMG_6967.npy,Left,./test/skeleton_raw/ok/IMG_6967.npy
ok,IMG_6968,test,./data/raw_droh/ok/IMG_6968.JPG,./test/skeleton_final_v2/ok/IMG_6968.npy,Left,./test/skeleton_raw/ok/IMG_6968.npy
ok,IMG_6969,test,./data/raw_droh/ok/IMG_6969.JPG,./test/skeleton_final_v2/ok/IMG_6969.npy,Left,./test/skeleton_raw/ok/IMG_6969.npy
ok,IMG_6970,test,./data/raw_droh/ok/IMG_6970.JPG,./test/skeleton_final_v2/ok/IMG_6970.npy,Left,./test/skeleton_raw/ok/IMG_6970.npy
ok,IMG_7001,test,./data/raw_droh/ok/IMG_7001.JPG,./test/skeleton_final_v2/ok/IMG_7001.npy,Left,./test/skeleton_raw/ok/IMG_7001.npy
ok,IMG_7036,test,./data/raw_droh/ok/IMG_7036.JPG,./test/skeleton_final_v2/ok/IMG_7036.npy,Right,./test/skeleton_raw/ok/IMG_7036.npy
ok,IMG_7037,test,./data/raw_droh/ok/IMG_7037.JPG,./test/skeleton_final_v2/ok/IMG_7037.npy,Right,./test/skeleton_raw/ok/IMG_7037.npy
ok,IMG_7038,test,./data/raw_droh/ok/IMG_7038.JPG,./test/skeleton_final_v2/ok/IMG_7038.npy,Right,./test/skeleton_raw/ok/IMG_7038.npy
ok,IMG_7070,test,./data/raw_droh/ok/IMG_7070.JPG,./test/skeleton_final_v2/ok/IMG_7070.npy,Right,./test/skeleton_raw/ok/IMG_7070.npy
ok,IMG_7072,test,./data/raw_droh/ok/IMG_7072.JPG,./test/skeleton_final_v2/ok/IMG_7072.npy,Right,./test/skeleton_raw/ok/IMG_7072.npy
ok,IMG_7073,test,./data/raw_droh/ok/IMG_7073.JPG,./test/skeleton_final_v2/ok/IMG_7073.npy,Right,./test/skeleton_raw/ok/IMG_7073.npy
ok,IMG_7227,test,./data/raw_droh/ok/IMG_7227.JPG,./test/skeleton_final_v2/ok/IMG_7227.npy,Left,./test/skeleton_raw/ok/IMG_7227.npy
ok,IMG_7228,test,./data/raw_droh/ok/IMG_7228.JPG,./test/skeleton_final_v2/ok/IMG_7228.npy,Left,./test/skeleton_raw/ok/IMG_7228.npy
ok,IMG_7258,test,./data/raw_droh/ok/IMG_7258.JPG,./test/skeleton_final_v2/ok/IMG_7258.npy,Left,./test/skeleton_raw/ok/IMG_7258.npy
ok,IMG_7259,test,./data/raw_droh/ok/IMG_7259.JPG,./test/skeleton_final_v2/ok/IMG_7259.npy,Left,./test/skeleton_raw/ok/IMG_7259.npy
ok,IMG_7260,test,./data/raw_droh/ok/IMG_7260.JPG,./test/skeleton_final_v2/ok/IMG_7260.npy,Left,./test/skeleton_raw/ok/IMG_7260.npy
ok,IMG_7288,test,./data/raw_droh/ok/IMG_7288.JPG,./test/skeleton_final_v2/ok/IMG_7288.npy,Left,./test/skeleton_raw/ok/IMG_7288.npy
ok,IMG_7290,test,./data/raw_droh/ok/IMG_7290.JPG,./test/skeleton_final_v2/ok/IMG_7290.npy,Left,./test/skeleton_raw/ok/IMG_7290.npy
ok,IMG_7291,test,./data/raw_droh/ok/IMG_7291.JPG,./test/skeleton_final_v2/ok/IMG_7291.npy,Left,./test/skeleton_raw/ok/IMG_7291.npy
ok,IMG_7322,test,./data/raw_droh/ok/IMG_7322.JPG,./test/skeleton_final_v2/ok/IMG_7322.npy,Left,./test/skeleton_raw/ok/IMG_7322.npy
ok,IMG_7323,test,./data/raw_droh/ok/IMG_7323.JPG,./test/skeleton_final_v2/ok/IMG_7323.npy,Left,./test/skeleton_raw/ok/IMG_7323.npy
