action,sample_id,split,image_path,skeleton_path,handedness,raw_path,mphand_bbox_x1,mphand_bbox_y1,mphand_bbox_x2,mphand_bbox_y2
ok,IMG_6289,test,./data/raw_droh/ok/IMG_6289.JPG,./test/skeleton_final_v2/ok/IMG_6289.npy,Left,./test/skeleton_raw/ok/IMG_6289.npy,0.06328082084655762,0.39750587940216064,0.8100571632385254,0.9429699182510376
ok,IMG_6290,test,./data/raw_droh/ok/IMG_6290.JPG,./test/skeleton_final_v2/ok/IMG_6290.npy,Left,./test/skeleton_raw/ok/IMG_6290.npy,0.2941066026687622,0.3231942057609558,0.7621450424194336,0.7512638568878174
ok,IMG_6292,test,./data/raw_droh/ok/IMG_6292.JPG,./test/skeleton_final_v2/ok/IMG_6292.npy,Left,./test/skeleton_raw/ok/IMG_6292.npy,0.26167428493499756,0.3527733087539673,0.5566403269767761,0.8974465131759644
ok,IMG_6327,test,./data/raw_droh/ok/IMG_6327.JPG,./test/skeleton_final_v2/ok/IMG_6327.npy,Left,./test/skeleton_raw/ok/IMG_6327.npy,0.26494264602661133,0.2958647608757019,0.7536892890930176,0.7292971014976501
ok,IMG_6329,test,./data/raw_droh/ok/IMG_6329.JPG,./test/skeleton_final_v2/ok/IMG_6329.npy,Left,./test/skeleton_raw/ok/IMG_6329.npy,0.38446033000946045,0.4171257019042969,0.6893280148506165,0.8494521379470825
ok,IMG_6362,test,./data/raw_droh/ok/IMG_6362.JPG,./test/skeleton_final_v2/ok/IMG_6362.npy,Left,./test/skeleton_raw/ok/IMG_6362.npy,0.1824723333120346,0.5587106943130493,0.5935044288635254,0.7819538712501526
ok,IMG_6363,test,./data/raw_droh/ok/IMG_6363.JPG,./test/skeleton_final_v2/ok/IMG_6363.npy,Left,./test/skeleton_raw/ok/IMG_6363.npy,0.5633073449134827,0.2341073900461197,0.8218700885772705,0.6438738107681274
ok,IMG_6396,test,./data/raw_droh/ok/IMG_6396.JPG,./test/skeleton_final_v2/ok/IMG_6396.npy,Left,./test/skeleton_raw/ok/IMG_6396.npy,0.22929254174232483,0.43717044591903687,0.7786352038383484,0.6969126462936401
ok,IMG_6434,test,./data/raw_droh/ok/IMG_6434.JPG,./test/skeleton_final_v2/ok/IMG_6434.npy,Left,./test/skeleton_raw/ok/IMG_6434.npy,0.09092238545417786,0.30195027589797974,0.5688343048095703,0.6749790906906128
ok,IMG_6437,test,./data/raw_droh/ok/IMG_6437.JPG,./test/skeleton_final_v2/ok/IMG_6437.npy,Left,./test/skeleton_raw/ok/IMG_6437.npy,0.16807430982589722,0.24992239475250244,0.6960575580596924,0.7035724520683289
ok,IMG_6472,test,./data/raw_droh/ok/IMG_6472.JPG,./test/skeleton_final_v2/ok/IMG_6472.npy,Right,./test/skeleton_raw/ok/IMG_6472.npy,0.32205232977867126,0.4162936210632324,0.8980017900466919,0.6884202361106873
